iter	Logloss
0	0.4775390286
1	0.3162048424
2	0.2218411408
3	0.1612050098
4	0.1200252307
5	0.08928777904
6	0.07006296256
7	0.05342592721
8	0.04353854482
9	0.03402154976
10	0.02898514059
11	0.02514007768
12	0.0230040714
13	0.01877569947
14	0.01701458744
15	0.01522060304
16	0.01222014607
17	0.01079923665
18	0.009573396201
19	0.008361879111
20	0.00744244216
21	0.006475147188
22	0.005638242725
23	0.005243808953
24	0.004720079089
25	0.003897823012
26	0.003613494613
27	0.00339603988
28	0.003129663742
29	0.002625285748
30	0.002352272006
31	0.002140236546
32	0.001983545737
33	0.001818553492
34	0.00172664219
35	0.001591181146
36	0.001399066397
37	0.001318101195
38	0.001217558972
39	0.001097185016
40	0.001020599544
41	0.0009516407797
42	0.0008963020539
43	0.0008471540942
44	0.0007529626037
45	0.0007074928583
46	0.0006793824879
47	0.0006444167925
48	0.0006235233349
49	0.0005873753378
50	0.0005653587444
51	0.0005176558212
52	0.0004921669087
53	0.0004689299859
54	0.000429605424
55	0.0003949650416
56	0.0003785867269
57	0.0003617492749
58	0.0003472547489
59	0.000326401684
60	0.0003137231214
61	0.0003008966575
62	0.0002913088748
63	0.0002709809692
64	0.000262125083
65	0.000262125083
66	0.0002443902559
67	0.0002352043377
68	0.0002265624234
69	0.0002137363655
70	0.0002137363655
71	0.0002137363655
72	0.0002137363655
73	0.000205752957
74	0.0001943038387
75	0.000194306219
76	0.0001855613047
77	0.0001855492547
78	0.0001855492547
79	0.0001855492547
80	0.0001855492547
81	0.0001791377814
82	0.0001791247648
83	0.0001791247648
84	0.0001791247648
85	0.000179120667
86	0.0001708105493
87	0.0001708105493
88	0.0001708038372
89	0.0001708038372
90	0.0001708078298
91	0.0001707998986
92	0.0001707998986
93	0.0001707998986
94	0.0001707959058
95	0.0001708056939
96	0.0001708056939
97	0.0001637441323
98	0.0001637441323
99	0.0001637441323
100	0.0001637441323
101	0.0001637441323
102	0.0001637441323
103	0.0001637375608
104	0.0001637303067
105	0.0001637303067
106	0.0001637303067
107	0.0001637303067
108	0.0001637303067
109	0.0001637303067
110	0.0001637303067
111	0.0001637303067
112	0.0001637303067
113	0.0001637303067
114	0.0001637296755
115	0.0001637296755
116	0.0001637296755
117	0.0001637430419
118	0.0001637430419
119	0.0001637354749
120	0.0001637354749
121	0.0001637354749
122	0.0001548945753
123	0.0001548845018
124	0.0001548945464
125	0.0001548945464
126	0.0001548945464
127	0.0001548945464
128	0.0001548945464
129	0.0001548945464
130	0.0001548945464
131	0.0001548945464
132	0.0001548945464
133	0.0001548945464
134	0.0001548945464
135	0.0001548945464
136	0.0001549002341
137	0.0001548621823
138	0.0001548683606
139	0.0001548683606
140	0.0001548683606
141	0.0001548683606
142	0.0001548774385
143	0.0001548690168
144	0.0001548690168
145	0.0001548821018
146	0.0001548821018
147	0.0001548821018
148	0.0001548821018
149	0.0001548749281
150	0.0001548675018
151	0.0001548675018
152	0.0001548675018
153	0.0001548675018
154	0.0001548621495
155	0.0001548621495
